layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10,0,1.0,5,9,2.5,4.0,0
20,10,3.5,9,9,1.0,1.5,0
45,20,2.5,9,9,1.0,1.5,0
70,45,2.0,9,9,1.0,2.0,0
77,70,3.5,9,9,1.0,1.5,0
85,77,1.0,9,9,2.0,3.0,0
95,85,3.0,9,4,0.75,1.5,0
116,95,1.5,4,9,0.75,1.5,0
118,116,1.0,4,9,1.0,2.0,0
120,118,2.5,3,4,0.5,0.75,0
127,120,1.5,4,4,0.75,1.0,0
136,127,3.0,3,4,0.5,0.75,0
140,136,1.0,4,4,0.5,1.0,0
145,140,3.0,3,4,0.5,1.0,0
147,145,1.0,4,4,0.75,1.5,0
162,147,3.0,3,4,0.25,0.75,0
175,162,1.0,3,4,0.75,0.75,0
