layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
11.0,0.0,5.0,5,5,1.5,4.0,0
12.0,11.0,6.0,8,8,,,0
13.0,12.0,5.0,5,5,2.0,4.0,0
19.0,13.0,3.0,5,5,2.0,4.0,0
23.0,19.0,5.0,5,5,3.0,4.0,0
45.0,23.0,2.0,5,5,2.0,4.0,0
75.0,45.0,4.0,9,9,1.0,1.0,0
105.0,75.0,3.0,4,4,2.0,2.0,0
109.0,105.0,2.0,9,9,1.0,2.0,0
116.0,109.0,3.5,4,3,1.0,3.0,0
121.0,116.0,1.0,4,4,1.5,2.0,0
124.0,121.0,2.0,4,4,1.0,2.0,0
126.0,124.0,1.0,3,3,0.5,1.5,0
127.0,126.0,3.0,9,9,1.0,1.0,0
131.0,127.0,4.0,3,3,1.0,4.0,0
138.0,131.0,1.0,3,2,0.5,1.0,0
141.0,138.0,5.0,4,9,1.0,2.0,0
142.0,141.0,5.0,7,7,3.0,4.0,1
143.0,142.0,3.0,3,3,0.5,0.5,0
144.0,143.0,6.0,8,8,,,0
150.0,144.0,1.0,3,2,0.5,0.5,0
151.0,150.0,3.0,3,2,0.5,1.0,0
153.0,151.0,1.0,1,2,1.0,1.0,0
