layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,3.0,4,4,1.5,1.5,0
20.0,15.0,4.0,4,4,2.0,2.0,0
25.0,20.0,4.0,3,4,0.5,1.5,0
59.0,25.0,3.5,3,4,0.5,1.5,0
74.0,59.0,3.0,9,9,2.0,2.0,0
76.0,74.0,2.5,3,3,0.5,0.5,0
89.0,76.0,4.0,4,4,1.0,1.5,0
95.0,89.0,4.0,9,9,2.0,2.0,0
98.0,95.0,4.0,3,3,0.5,0.5,0
110.0,98.0,3.0,4,4,1.0,2.0,0
135.0,110.0,4.0,4,4,1.0,2.0,0
145.0,135.0,3.0,4,4,1.0,1.5,0
150.0,145.0,3.0,3,3,1.0,1.0,0
152.0,150.0,2.0,4,4,1.5,1.5,0
155.0,152.0,3.0,3,4,0.5,1.0,0
161.0,155.0,1.0,9,9,1.0,1.5,0
171.0,161.0,1.0,3,4,0.5,1.0,0
