layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
35.0,0.0,1.0,5,5,2.0,4.0,0
55.0,35.0,3.0,9,4,0.5,2.0,0
83.0,55.0,3.5,9,3,0.5,1.5,0
120.0,83.0,3.0,9,3,0.5,1.5,0
122.0,120.0,3.5,7,7,2.0,3.0,0
141.0,122.0,2.0,9,9,1.0,2.5,0
142.0,141.0,2.5,7,7,1.0,2.5,0
154.0,142.0,1.0,9,9,1.0,1.5,0
155.0,154.0,2.5,7,7,0.2,1.5,0
161.0,155.0,1.0,3,3,0.2,0.5,0
164.0,161.0,2.5,7,7,1.0,2.0,0
173.0,164.0,1.0,2,3,0.8,1.2,0
174.0,173.0,2.5,7,7,0.5,1.0,0
177.0,174.0,1.0,2,3,0.8,1.2,0
180.0,177.0,2.5,7,7,0.5,1.0,0
182.0,180.0,1.0,1,1,1.0,1.5,0
