layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
19.0,0.0,1.0,5,5,0.5,5.0,0
29.0,19.0,2.0,7,9,0.5,1.0,1
42.0,29.0,1.0,5,9,0.5,1.5,0
58.0,42.0,1.0,5,9,0.5,2.0,0
66.0,58.0,2.0,4,4,0.25,1.0,0
68.0,66.0,3.0,4,4,0.5,0.5,0
71.0,68.0,1.0,6,4,0.5,2.0,0
94.0,71.0,4.0,9,4,0.5,1.5,0
100.0,94.0,2.0,4,4,0.5,1.5,0
101.0,100.0,1.0,6,6,0.5,1.5,0
148.0,101.0,3.0,3,3,0.25,0.25,0
150.0,148.0,2.0,3,9,0.5,0.5,0
155.0,150.0,1.0,3,3,0.25,0.25,0
162.0,155.0,1.5,3,3,0.25,0.5,0
171.0,162.0,1.0,1,1,0.5,1.5,0
