layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
22.0,0.0,3.5,9,4,1.0,2.0,0
44.0,22.0,2.5,9,9,1.0,2.5,0
68.0,44.0,3.5,9,9,1.0,2.5,0
82.0,68.0,4.5,7,9,1.0,2.0,0
104.0,82.0,3.5,4,3,0.2,1.0,0
105.0,104.0,4.0,3,3,0.2,0.5,0
117.0,105.0,3.5,9,3,0.2,1.0,0
120.0,117.0,3.5,9,7,0.5,1.0,0
148.0,120.0,3.0,3,4,0.2,1.0,0
153.0,148.0,3.5,3,3,0.2,0.5,0
164.5,153.0,3.0,3,3,0.2,0.5,0
165.0,164.5,1.0,6,6,1.0,2.0,0
188.0,165.0,2.5,3,3,0.2,0.5,0
198.0,188.0,1.5,3,2,0.2,1.0,0
200.0,198.0,1.0,6,6,2.0,8.0,0
