layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,1.5,4,5,3.0,4.0,0
22.0,15.0,1.5,4,4,2.0,3.0,0
30.0,22.0,4.0,4,4,1.0,2.0,0
46.0,30.0,3.5,4,4,1.0,1.0,0
75.5,46.0,3.0,4,4,1.0,2.0,0
76.0,75.5,6.0,8,8,,,0
85.0,76.0,4.0,4,4,0.5,0.5,0
88.0,85.0,3.0,4,4,1.0,1.0,0
89.0,88.0,6.0,8,8,,,0
91.0,89.0,4.0,7,7,1.0,2.0,1
99.0,91.0,3.5,4,4,0.5,0.5,0
101.0,99.0,4.0,7,7,1.0,2.0,1
104.0,101.0,3.0,4,4,0.5,0.5,0
106.0,104.0,4.0,7,7,1.0,2.0,1
130.0,106.0,1.5,4,4,0.5,1.0,0
134.0,130.0,1.0,4,4,1.0,1.0,0
138.0,134.0,2.0,3,3,0.5,0.5,0
146.0,138.0,1.5,3,3,0.2,0.2,0
171.0,146.0,1.0,2,3,0.5,1.0,0
184.0,171.0,1.0,2,2,1.0,2.0,0
