layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,3.0,5,9,1.0,3.0,0
21.0,10.0,2.5,5,9,1.0,3.0,0
32.0,21.0,4.0,5,7,2.0,3.0,0
50.0,32.0,1.5,5,9,2.0,4.0,0
72.0,50.0,1.0,5,4,2.0,3.0,0
90.0,72.0,1.5,4,5,1.0,3.0,0
96.0,90.0,2.5,5,4,1.0,3.0,0
98.0,96.0,2.5,4,5,1.0,2.0,0
100.0,98.0,3.0,3,4,0.5,1.0,0
102.0,100.0,2.0,4,4,1.0,2.0,0
103.0,102.0,3.5,4,5,0.5,0.5,0
113.0,103.0,3.5,4,3,1.0,1.0,0
125.0,113.0,3.0,3,4,0.5,0.5,0
143.0,125.0,2.0,4,3,0.5,1.0,0
145.0,143.0,1.0,4,5,1.0,1.0,0
146.0,145.0,4.0,7,4,1.0,2.0,1
150.0,146.0,2.0,4,5,2.0,2.0,0
162.0,150.0,1.5,4,4,1.0,2.0,0
168.0,162.0,2.0,3,4,0.25,1.0,0
178.5,168.0,1.0,4,3,0.5,1.0,0
179.0,178.5,2.0,5,3,0.5,0.5,0
180.0,179.0,1.0,1,6,1.0,3.0,0
