layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
5.0,0.0,1.5,9,7,1.0,3.0,0
30.0,5.0,1.0,9,9,1.0,2.5,0
39.0,30.0,3.5,9,9,0.5,1.0,0
66.5,39.0,3.0,9,4,0.5,1.5,0
67.0,66.5,1.0,6,6,1.0,2.0,0
84.5,67.0,2.5,4,9,0.5,1.2,0
85.0,84.5,1.0,6,6,1.0,5.0,0
105.0,85.0,3.5,3,4,0.2,1.0,0
106.0,105.0,3.5,3,3,0.2,0.3,0
114.5,106.0,3.0,3,4,0.2,0.75,0
115.0,114.5,1.0,6,6,1.0,2.0,0
142.0,115.0,2.0,3,2,0.2,0.5,0
144.5,142.0,1.0,3,9,0.2,1.25,0
145.0,144.5,1.0,6,6,1.0,2.0,0
173.0,145.0,1.0,3,2,0.2,1.0,0
192.0,173.0,1.5,3,3,0.2,0.3,0
199.5,192.0,1.0,1,2,1.0,3.0,0
200.0,199.5,1.0,6,1,1.0,2.0,0
