layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
16.0,0.0,1.0,5,5,3.0,4.0,0
30.0,16.0,2.0,7,5,2.0,3.0,1
45.0,30.0,2.5,7,4,1.0,1.5,1
54.0,45.0,2.0,4,4,0.5,1.0,0
62.0,54.0,2.0,4,4,1.0,1.5,0
67.0,62.0,3.5,4,9,0.5,1.0,0
86.0,67.0,4.0,4,4,0.75,1.25,0
98.0,86.0,4.0,4,4,0.5,1.0,0
116.0,98.0,3.5,3,4,0.25,0.75,0
123.0,116.0,3.0,3,2,0.25,0.5,0
134.0,123.0,3.5,3,3,0.25,0.25,0
159.0,134.0,3.5,3,3,0.25,0.25,0
185.0,159.0,3.0,3,2,0.5,1.0,0
190.0,185.0,2.5,3,3,0.25,0.25,0
193.0,190.0,4.0,4,2,0.5,1.0,0
