layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
11.0,0.0,1.0,5,5,0.5,4.0,0
21.0,11.0,1.0,9,5,0.5,0.5,0
22.0,21.0,4.0,4,4,0.5,1.5,0
31.0,22.0,3.0,3,3,0.25,0.25,0
34.0,31.0,3.0,4,4,0.5,1.0,0
78.0,34.0,2.0,3,3,0.5,2.0,0
85.0,78.0,3.0,4,4,0.5,1.0,0
92.0,85.0,2.0,3,3,0.5,1.0,0
103.0,92.0,2.0,3,3,0.5,0.5,0
106.0,103.0,2.0,9,4,0.5,1.5,0
108.0,106.0,1.0,3,3,0.25,0.5,0
116.0,108.0,2.0,9,4,0.5,1.5,0
124.0,116.0,2.0,9,7,0.25,1.0,0
128.0,124.0,1.0,3,7,0.25,0.5,0
138.0,128.0,1.0,3,7,0.5,0.5,0
144.0,138.0,1.0,2,2,0.25,0.5,0
