layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
28.0,0.0,1.0,5,5,1.5,2.5,0
34.0,28.0,1.0,5,5,2.0,4.0,0
42.0,34.0,3.5,4,4,0.5,1.8,0
44.0,42.0,1.0,4,5,1.2,2.0,0
67.0,44.0,3.0,4,4,1.2,1.8,0
68.0,67.0,1.0,5,5,1.2,2.0,0
71.0,68.0,3.0,4,4,0.8,1.5,0
73.0,71.0,1.0,4,6,1.2,2.4,0
79.0,73.0,3.0,4,9,1.0,1.5,0
83.0,79.0,1.0,5,5,1.2,2.5,0
95.0,83.0,1.0,5,5,1.0,1.5,0
97.0,95.0,1.0,5,5,1.5,3.0,0
105.0,97.0,3.5,3,3,0.2,0.4,0
108.0,105.0,3.0,3,3,0.2,0.6,0
117.0,108.0,4.0,3,3,0.2,0.4,0
120.0,117.0,1.0,4,4,0.4,0.9,0
125.0,120.0,1.5,3,4,0.2,0.7,0
126.0,125.0,3.0,3,3,0.2,0.4,0
