layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
14.0,0.0,3.5,9,9,0.5,2.0,0
30.0,14.0,2.0,4,4,1.0,3.0,0
33.0,30.0,5.0,7,7,1.0,1.0,1
49.0,33.0,2.5,4,4,1.0,2.25,0
53.0,49.0,3.0,4,4,1.0,2.0,0
55.0,53.0,5.0,4,7,1.0,2.0,0
62.0,55.0,3.5,4,4,0.5,1.5,0
72.0,62.0,4.0,4,3,0.25,1.0,0
75.0,72.0,3.0,4,3,0.25,1.25,0
79.0,75.0,4.5,3,4,0.25,1.0,0
86.0,79.0,4.0,4,3,0.25,1.0,0
106.0,86.0,2.5,4,4,0.5,1.25,0
112.0,106.0,4.0,4,3,0.25,1.0,0
121.0,112.0,3.0,4,3,0.25,1.0,0
130.0,121.0,2.0,4,3,0.25,1.0,0
140.8,130.0,3.5,3,3,0.25,0.75,0
141.0,140.8,1.0,6,6,1.0,2.0,0
147.0,141.0,4.0,3,2,0.25,1.0,0
