layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
7.0,0.0,1.0,5,5,3.0,5.0,0
15.0,7.0,1.0,5,4,2.0,4.0,0
46.0,15.0,2.0,4,4,2.0,3.0,0
63.0,46.0,2.5,3,4,0.5,1.0,0
72.0,63.0,2.0,4,4,1.5,2.5,0
76.0,72.0,3.5,7,7,2.0,3.0,1
86.0,76.0,3.0,3,3,0.5,0.5,0
94.0,86.0,3.5,7,7,2.0,3.0,1
107.5,94.0,3.0,7,3,0.5,2.0,1
108.0,107.5,1.0,4,9,1.0,2.0,0
127.0,108.0,3.0,3,3,0.5,0.5,0
128.0,127.0,4.0,7,7,1.0,3.0,1
133.0,128.0,2.5,3,3,0.5,0.5,0
152.0,133.0,2.0,4,2,1.0,2.0,0
157.0,152.0,3.0,7,7,2.0,4.0,1
